,merge,,,,Complaint/Feedback,ID,_text_sentiment_score,senti_score_min,senti_score_max,#DIV/0!
0,Get rid of difficulties in your organization when dealing with personal side. Let my banker deal with personal side loans etc.,,,,Complaint,9999104364,-4,-0.36766303,0.23811527,-0.06477388
1,Deposit errors.   Our reps waiting in line too long at branches Lockbox errors.,,,,Complaint,9999101282,-4,-0.4049184,-0.05687742,-0.23089791
2,"You need to bring your web portal up to the standards of the 21st century. It is very user unfriendly and shows no sign of improvement. You need proper approval authorities for all banking transactions in ACCESS, specifically ACH;  this is a serious control failure issue.",,,,Complaint,9999100937,-4,-1.4874527,0.07358329,-0.706934705
3,The problem is not with our 'Banker'.  The problem is JP Morgan Chase lack of interest in fitting the needs of my organization.,,,,Complaint,9999103606,-4,-0.63346076,-0.1452013,-0.38933103
4,,,,,Complaint,9999104680,-4,,,#DIV/0!
5,The set up from credit card processing was done incorrectly on a few merchants.,,,,Complaint,9999106182,-4,-0.6986656,-0.09910402,-0.39888481
6,Have not heard from a rep in over a year!!!,,,,Complaint,9999100662,-4,-0.13227043,0.5030089,0.185369235
7,i explained in a previous one,,,,Complaint,9999101483,-4,0.14083518,0.14083518,0.14083518
8,I would appreciate Chase working on integrating systems with their customers.  An example of this is to have the online ability to reconcile checks cleared in my ERP system us,,,,Complaint,9999104379,-4,-0.29708856,0.21569225,-0.040698155
9,Needed a capital line of credit.  We were unwilling to put cash into a custodial account as collateral,,,,Complaint,9999103218,-4,0.039135233,0.041375365,0.040255299
10,Service charges incorrectly charged,,,,Complaint,9999106165,-4,-0.3563732,-0.3563732,-0.3563732
11,The purchase card system is very cumbersome and not well liked by our users.,,,,Complaint,9999103207,-4,-1.0598274,-1.0598274,-1.0598274
12,"I don't handle the day to day banking, so I don't know. When we have an issue, she is on top of it.",,,,Complaint,9999102923,-4,-0.028224148,0.28006956,0.125922706
13,,,,,Complaint,9999106247,-4,,,#DIV/0!
14,Positive pay issue not resolved for over a month.  Waiting on Chase outside vendor for help.,,,,Complaint,9999100587,-4,-0.63374794,-0.07982445,-0.356786195
15,Took too long,,,,Complaint,9999104195,-4,-1.1710025,-0.36347115,-0.767236825
16,I would like for you to make it easier for us to set up a credit card terminal with you.  We have to process credit cards with a terrible company because we could not get a credit card terminal with you.,,,,Complaint,9999102448,-4,-0.43688715,-0.13606372,-0.286475435
17,Monitor our fee structure and look for opportunities to decrease the overall fees applied,,,,Complaint,9999106509,-4,0.5203799,0.5203799,0.5203799
18,help find new solutions to problems we face during difficult times.,,,,Complaint,9999101939,-4,0.41570812,0.5493214,0.48251476
19,Simple method to invest excess cash over short term without being cost prohibitive,,,,Complaint,9999100537,-4,-0.65035206,-0.65035206,-0.65035206
20,Wire on a closing was rejected.  No notification received.  We went to retransmit the wire and the bank release original wire.  We almost send wire twice because the bank did not communicate with us.,,,,Complaint,9999102528,-4,-0.7380836,0.18738544,-0.27534908
21,Mis-posting of cash sent into lock box,,,,Complaint,9999101620,-4,-0.23990956,-0.23990956,-0.23990956
22,"Had collateral for corporate Visa account, educed limit on Visa considerably after 2 years, cannot get cash collateral released.",,,,Complaint,9999105036,-4,-0.5122959,-0.5122959,-0.5122959
23,"I'm not sure he can do a whole lot, since Chase keeps cutting services here and there.  I figure his hands are tied and there's not a whole lot he can do.",,,,Complaint,9999101216,-4,-0.39426434,-0.24170354,-0.31798394
24,The ever increasing stringency of security measures makes it more and more difficult to utilize services.,,,,Complaint,9999100108,-4,-0.2833596,-0.2833596,-0.2833596
25,Nothing. The problems I described earlier are not her fault.,,,,Complaint,9999100972,-4,-0.66658735,0.421528,-0.122529675
26,To improve the value he brings to our organization he can work to get us a designated contact person for transaction items and not a team of people.,,,,Complaint,9999101612,-4,0.38244078,0.38244078,0.38244078
27,The new account paperwork and number of signatures required is absurd.,,,,Complaint,9999102907,-4,-0.43232328,-0.43232328,-0.43232328
28,"Your bank is sometimes too complicated to work with.  You have taken steps to protect you and the customer from fraud, but sometimes those steps are very cumbersome and do not make common sense.",,,,Complaint,9999105912,-4,-0.423532,-0.04597581,-0.234753905
29,Your online FX product is not very user friendly.,,,,Complaint,9999103164,-4,-0.59354424,-0.59354424,-0.59354424
30,"We recently transitioned to Chase and have over 10 business accounts that needed to be converted along with lockbox activity. I thought it would be a nightmare.  The Chase team was highly professional, listened first to our needs and implemented solutions.  This alone would make me want to recommend Chase to my colleagues.",,,,Complaint,9999102042,-4,-0.5455916,0.5247328,-0.0104294
31,She tried very hard to help.  However we kept getting bounced between her and the tech team.,,,,Complaint,9999102607,-4,-0.96925306,0.049915686,-0.459668687
32,Reduce fees,,,,Complaint,9999103349,-4,-0.37946808,-0.2704006,-0.32493434
33,no service.  needless fees,,,,Complaint,9999104738,-4,-0.9327003,-0.017035484,-0.474867892
34,That's difficult to answer. Due to our structure we are limited in what and how we can do things.,,,,Complaint,9999106047,-4,-0.11676499,-0.10093114,-0.108848065
35,Should learn more about industry,,,,Complaint,9999104645,-4,-0.56821936,-0.3077234,-0.43797138
36,Nothing.  He is new to our relationship and is doing a good job.,,,,Complaint,9999105917,-4,-0.66658735,0.5991708,-0.033708275
37,A bit cumbersome regulations to get things done,,,,Complaint,9999105981,-4,-0.06351254,-0.06351254,-0.06351254
38,To find a way to streamline adding accounts and services for related companies/subsidiaries and allow CSP area to add accounts and users to JP Morgan Access based on direction from the company. As an administrator this is a very time consuming process that provides little value for a company that needs to have changes made.,,,,Complaint,9999104054,-4,-0.46246785,0.24744055,-0.10751365
39,"I think that JP Morgan has very restrictive and conservative approach since 2008 that has affected our business. I don't have anything negative to say about her, she has been very good in a very difficult environment.",,,,Complaint,9999101020,-4,-0.17663121,0.24509211,0.03423045
40,Inability to pay on the line when I tried to pay off outstanding loan balance.  Error message stated that I exceeded the limit to be paid on the line.,,,,Complaint,9999103897,-4,-0.7027342,-0.098747954,-0.400741077
41,,,,,Complaint,9999103249,-4,,,#DIV/0!
42,Follow up on issues or problems raised.,,,,Complaint,9999103267,-4,-0.29605076,-0.29605076,-0.29605076
43,"Stay as our Banker -- the longer he is in the position, the better he will know the organization and our individual management team members.",,,,Complaint,9999102903,-4,-0.033642206,0.43361565,0.199986722
44,"There is a serious breakdown between US Banking and the Canadian Banking at JPMChase.  I always have to go through my US Customer Service Rep to get answers to the issues with the Canadian accounts.  When I have been able to speak with a Canadian representative, it is as though we speak different languages. Very frustrating",,,,Complaint,9999100067,-4,-0.51839274,-0.11348738,-0.31594006
45,On-line platform not easy to use.,,,,Complaint,9999102783,-4,-0.62013304,-0.62013304,-0.62013304
46,"Still have not received a reply to W8BEN-E question pending since April 20, 2016",,,,Complaint,9999106539,-4,-1.1195248,-1.1195248,-1.1195248
47,"At the moment, I can't think of anything.  He is great to work with and I know that I can count on him!",,,,Complaint,9999104844,-4,-0.6368982,0.08915241,-0.273872895
48,Lower costs,,,,Complaint,9999101729,-4,-0.50753224,0.17776212,-0.16488506
49,"Most errors occurred on the endowment custody relationship we had with JPMorgan.  As a result, that relationship was terminated in May",,,,Complaint,9999101507,-4,-0.5167038,-0.006244235,-0.261474017
50,,,,,Complaint,9999104114,-4,,,#DIV/0!
51,Keep up the great work!,,,,Complaint,9999100342,-4,-1.055109,-0.38455504,-0.71983202
52,JP Morgan access is not user friendly and difficult to use.,,,,Complaint,9999105399,-4,-0.9534244,-0.9534244,-0.9534244
53,most functions are overly cumbersome and create inconvenience by comparison to other institutions,,,,Complaint,9999106672,-4,-0.3857329,-0.3857329,-0.3857329
54,,,,,Complaint,9999104290,-4,,,#DIV/0!
55,the bank is very beauracatic and siloed,,,,Complaint,9999106468,-4,-0.28105703,4.83E-05,-0.140504342
56,Satisfied at present time.,,,,Complaint,9999103613,-4,0.44633022,0.44633022,0.44633022
57,Nothing really.,,,,Complaint,9999100934,-4,-0.2914122,-0.03737139,-0.164391795
58,"LOWER MY FEES LOWER MY FEES LOWER MY FEES, and fix Chase Paymetechs process for setting up a new Merchant ID.  This is out of her area but causes our company the most angst when it comes to Chase.",,,,Complaint,9999104903,-4,0.15114203,0.3286205,0.239881265
